Ratio	Phase1 Accuracy	Phase1 Epochs	Final Phase2 Accuracy	Phase2 Epochs	Phase2 Accuracy on Phase1 Dataset	Difference (H-D)
2:5	61.7000	5	53.3200	10	16.0000	-45.7000
2:5	65.0000	5	59.0800	15	14.3000	-50.7000
2:5	77.2000	10	46.5200	10	13.7000	-63.5000
2:5	72.0000	10	59.2400	15	13.7000	-58.3000
3:5	39.4667	5	52.7600	10	15.8667	-23.6000
3:5	37.9333	5	54.4400	15	12.9333	-25.0000
3:5	59.5333	10	55.8800	10	13.0667	-46.4667
3:5	52.7333	10	59.2800	15	14.8000	-37.9333
